Ship Mode,Segment,Order ID,Order Date,Sales
Second Class,Consumer,CA-2013-168893,42312,903.77
Second Class,Consumer,CA-2013-169334,42299,111.672
Second Class,Consumer,CA-2014-101210,42607,13.152
Second Class,Consumer,CA-2014-101273,42609,14.336
Second Class,Consumer,CA-2014-101483,42580,61.216
Second Class,Consumer,CA-2014-102309,42636,212.91
Second Class,Consumer,CA-2014-107209,42578,194.848
Second Class,Consumer,CA-2014-107461,42725,23.88
Second Class,Consumer,CA-2014-113705,42456,874.8
Second Class,Consumer,CA-2014-123239,42578,91.032
Second Class,Consumer,CA-2014-127726,42624,209.88
Second Class,Consumer,CA-2014-128629,42561,18.84
Second Class,Consumer,CA-2014-128699,42707,47.992
Second Class,Consumer,CA-2014-129021,42605,4590.344
Second Class,Consumer,CA-2014-129462,42537,740.59
Second Class,Consumer,CA-2014-130834,42677,16.272
Second Class,Consumer,CA-2014-139353,42671,273.088
Second Class,Consumer,CA-2014-140088,42518,301.96
Second Class,Consumer,CA-2014-144694,42637,253.824
Second Class,Consumer,CA-2014-145310,42726,7.824
Second Class,Consumer,CA-2014-146458,42693,22.96
Second Class,Consumer,CA-2014-155159,42699,48.87
Second Class,Consumer,CA-2014-155705,42603,866.4
Second Class,Consumer,CA-2014-160458,42517,25.92
Second Class,Consumer,CA-2014-161200,42588,161.14
Second Class,Consumer,CA-2014-163321,42589,79.992
Second Class,Consumer,CA-2014-163510,42729,400.39
Second Class,Consumer,CA-2014-165204,42687,728.968
Second Class,Consumer,CA-2014-167941,42680,831.368
Second Class,Consumer,US-2011-102715,41375,737.2
Second Class,Consumer,US-2011-117135,41446,425.67
Second Class,Consumer,US-2012-136749,41998,433.78
Second Class,Consumer,US-2012-151435,41888,85.98
Second Class,Consumer,US-2013-120929,42082,189.882
Second Class,Consumer,US-2013-142251,42309,32.064
Second Class,Consumer,US-2014-135062,42613,229.544
Second Class,Consumer,US-2014-153633,42687,2.064
Second Class,Consumer,US-2014-158526,42733,1814.68
Second Class,Consumer,US-2014-163195,42418,29.16
Second Class,Consumer,US-2014-167920,42713,1827.51
Second Class,Corporate,CA-2011-101560,41606,542.34
Second Class,Corporate,CA-2011-102988,41369,4251.92
Second Class,Corporate,CA-2011-110408,41565,2216.8
Second Class,Corporate,CA-2011-114790,41344,782.63
Second Class,Corporate,CA-2011-120432,41510,25.5
Second Class,Corporate,CA-2011-121286,41582,66.616
Second Class,Corporate,CA-2011-129819,41621,12.39
Second Class,Corporate,CA-2011-153913,41624,1015.816
Second Class,Corporate,CA-2011-162775,41287,1287.26
Second Class,Corporate,CA-2011-164910,41590,7.872
Second Class,Corporate,CA-2012-109470,42004,596.48
Second Class,Corporate,CA-2012-109708,41784,467.04
Second Class,Corporate,CA-2012-116750,41825,12.158
Second Class,Corporate,CA-2012-119592,41987,3.76
Second Class,Corporate,CA-2012-142202,41900,717.12
Second Class,Corporate,CA-2012-161445,41889,140.736
Second Class,Corporate,CA-2012-163237,41858,520.03
Second Class,Corporate,CA-2012-166604,41774,17.94
Second Class,Corporate,CA-2012-168004,41916,392.94
Second Class,Corporate,CA-2012-169677,41652,9.82
Second Class,Corporate,CA-2013-109407,42028,31.36
Second Class,Corporate,CA-2013-112697,42357,1410.066
Second Class,Corporate,CA-2013-113236,42151,232.624
Second Class,Corporate,CA-2013-122518,42068,10.08
Second Class,Corporate,CA-2013-134474,42009,255.904
Second Class,Corporate,CA-2013-143805,42340,2145.25
Second Class,Corporate,CA-2013-157161,42202,199.18
Second Class,Corporate,CA-2013-162236,42313,1106.924
Second Class,Corporate,CA-2013-162747,42084,86.45
Second Class,Corporate,CA-2013-163167,42337,2673.69
Second Class,Corporate,CA-2014-103009,42677,26.4
Second Class,Corporate,CA-2014-104864,42692,552.856
Second Class,Corporate,CA-2014-115070,42470,16.739
Second Class,Corporate,CA-2014-116113,42645,10.16
Second Class,Corporate,CA-2014-122693,42420,1245.86
Second Class,Corporate,CA-2014-128300,42698,406.94
Second Class,Corporate,CA-2014-133263,42460,3098.61
Second Class,Corporate,CA-2014-134495,42461,269.4
Second Class,Corporate,CA-2014-134649,42396,22.63
Second Class,Corporate,CA-2014-143567,42676,3291.07
Second Class,Corporate,CA-2014-145702,42509,342.24
Second Class,Corporate,CA-2014-153339,42677,15.992
Second Class,Corporate,CA-2014-153654,42698,19.008
Second Class,Corporate,CA-2014-158561,42685,1158.12
Second Class,Corporate,US-2012-140851,41833,38.88
Second Class,Corporate,US-2012-149629,41837,231.92
Second Class,Corporate,US-2013-138408,42327,1319.96
Second Class,Corporate,US-2013-161844,42348,82.92
Second Class,Corporate,US-2014-109610,42699,701.96
Second Class,Corporate,US-2014-162670,42727,1152.87
Second Class,Home Office,CA-2011-157609,41349,471.92
Second Class,Home Office,CA-2011-158274,41597,682.91
Second Class,Home Office,CA-2012-115847,41901,61.96
Second Class,Home Office,CA-2012-133977,41888,3.444
Second Class,Home Office,CA-2012-134992,41904,80.38
Second Class,Home Office,CA-2012-140830,41973,89.36
Second Class,Home Office,CA-2012-153549,41727,1166.92
Second Class,Home Office,CA-2013-109344,42043,1127.976
Second Class,Home Office,CA-2013-127985,42096,7.04
Second Class,Home Office,CA-2013-140977,42172,91.475
Second Class,Home Office,CA-2013-149111,42112,55.416
Second Class,Home Office,CA-2013-164350,42258,67.56
Second Class,Home Office,CA-2014-114055,42729,819.28
Second Class,Home Office,CA-2014-141446,42629,18
Second Class,Home Office,CA-2014-142671,42684,11.52
Second Class,Home Office,CA-2014-148922,42714,684.78
Second Class,Home Office,CA-2014-157931,42630,830.24
Second Class,Home Office,CA-2014-160899,42593,477.51
Second Class,Home Office,US-2012-113327,41785,352.168
Second Class,Home Office,US-2013-135209,42368,62.752
Second Class,Home Office,US-2013-168620,42363,823.61
Second Class,Home Office,US-2014-148768,42704,71.976
Second Class,Home Office,US-2014-159205,42460,732.93
Standard Class,Consumer,CA-2011-100895,41427,605.47
Standard Class,Consumer,CA-2011-104283,41452,616.14
Standard Class,Consumer,CA-2011-107573,41620,23.472
Standard Class,Consumer,CA-2011-110100,41389,302.376
Standard Class,Consumer,CA-2011-114335,41545,337.088
Standard Class,Consumer,CA-2011-116190,41481,256.48
Standard Class,Consumer,CA-2011-116407,41593,362.176
Standard Class,Consumer,CA-2011-116568,41622,186.304
Standard Class,Consumer,CA-2011-117016,41337,15.552
Standard Class,Consumer,CA-2011-120950,41584,43.68
Standard Class,Consumer,CA-2011-123400,41307,199.296
Standard Class,Consumer,CA-2011-127299,41536,2692.329
Standard Class,Consumer,CA-2011-127614,41316,1508.13
Standard Class,Consumer,CA-2011-128839,41525,254.97
Standard Class,Consumer,CA-2011-131527,41609,95.968
Standard Class,Consumer,CA-2011-134551,41628,732.312
Standard Class,Consumer,CA-2011-138296,41613,24.56
Standard Class,Consumer,CA-2011-138709,41459,37.44
Standard Class,Consumer,CA-2011-140886,41547,69.216
Standard Class,Consumer,CA-2011-143182,41562,15.384
Standard Class,Consumer,CA-2011-143840,41416,180.93
Standard Class,Consumer,CA-2011-146731,41581,147.344
Standard Class,Consumer,CA-2011-149958,41348,370.782
Standard Class,Consumer,CA-2011-152268,41519,1793.98
Standard Class,Consumer,CA-2011-155390,41614,42.208
Standard Class,Consumer,CA-2011-159184,41531,149.56
Standard Class,Consumer,CA-2011-159681,41615,105.52
Standard Class,Consumer,CA-2011-161634,41592,32.4
Standard Class,Consumer,CA-2011-163013,41606,14.67
Standard Class,Consumer,CA-2011-164315,41366,1220.67
Standard Class,Consumer,CA-2011-165764,41581,1395.673
Standard Class,Consumer,CA-2011-166051,41425,773.7
Standard Class,Consumer,CA-2011-169257,41431,63.381
Standard Class,Consumer,CA-2012-100888,41735,47.952
Standard Class,Consumer,CA-2012-101868,41799,175.32
Standard Class,Consumer,CA-2012-102491,41875,3747.93
Standard Class,Consumer,CA-2012-102582,41897,1918.79
Standard Class,Consumer,CA-2012-103093,41673,74.52
Standard Class,Consumer,CA-2012-104115,41802,55.984
Standard Class,Consumer,CA-2012-107678,41750,893.09
Standard Class,Consumer,CA-2012-108119,41944,301.96
Standard Class,Consumer,CA-2012-110247,41977,8.226
Standard Class,Consumer,CA-2012-111199,41956,115.296
Standard Class,Consumer,CA-2012-111703,41822,27.504
Standard Class,Consumer,CA-2012-112375,41994,78.192
Standard Class,Consumer,CA-2012-114300,41925,371.66
Standard Class,Consumer,CA-2012-114503,41956,84.96
Standard Class,Consumer,CA-2012-115938,41816,535.36
Standard Class,Consumer,CA-2012-118444,41948,387.136
Standard Class,Consumer,CA-2012-118843,41895,199.86
Standard Class,Consumer,CA-2012-119480,41648,364.07
Standard Class,Consumer,CA-2012-119634,41862,46.152
Standard Class,Consumer,CA-2012-120516,41864,5.64
Standard Class,Consumer,CA-2012-120621,41719,1270.379
Standard Class,Consumer,CA-2012-122266,41755,194.1395
Standard Class,Consumer,CA-2012-123092,41976,288.85
Standard Class,Consumer,CA-2012-123330,41811,107.976
Standard Class,Consumer,CA-2012-125563,41740,121.888
Standard Class,Consumer,CA-2012-125976,41909,2026.78
Standard Class,Consumer,CA-2012-128139,41823,365.91
Standard Class,Consumer,CA-2012-129098,41921,30.84
Standard Class,Consumer,CA-2012-133242,41808,1046.47
Standard Class,Consumer,CA-2012-134719,41922,1801.632
Standard Class,Consumer,CA-2012-134782,42000,105.42
Standard Class,Consumer,CA-2012-134894,41980,436.86
Standard Class,Consumer,CA-2012-136147,41956,233.064
Standard Class,Consumer,CA-2012-138457,41895,13.092
Standard Class,Consumer,CA-2012-141145,41899,87.168
Standard Class,Consumer,CA-2012-141565,41902,1664.132
Standard Class,Consumer,CA-2012-142755,41886,919.49
Standard Class,Consumer,CA-2012-143119,41906,517.5
Standard Class,Consumer,CA-2012-143532,41717,14.496
Standard Class,Consumer,CA-2012-144288,41998,19.584
Standard Class,Consumer,CA-2012-145352,41714,6412.77
Standard Class,Consumer,CA-2012-147879,41766,45.68
Standard Class,Consumer,CA-2012-148705,41710,5.04
Standard Class,Consumer,CA-2012-151547,41656,88.96
Standard Class,Consumer,CA-2012-153535,41779,169.544
Standard Class,Consumer,CA-2012-153626,41829,5.16
Standard Class,Consumer,CA-2012-155635,41768,48.81
Standard Class,Consumer,CA-2012-156328,41973,177.48
Standard Class,Consumer,CA-2012-158148,41993,36.27
Standard Class,Consumer,CA-2012-158421,41903,3631.96
Standard Class,Consumer,CA-2012-162537,41940,104.51
Standard Class,Consumer,CA-2012-162761,41921,50.462
Standard Class,Consumer,CA-2012-163965,41963,377.902
Standard Class,Consumer,CA-2012-165624,41874,1142.43
Standard Class,Consumer,CA-2012-167696,41898,31.12
Standard Class,Consumer,CA-2012-168459,41965,58.05
Standard Class,Consumer,CA-2012-169740,41690,29.99
Standard Class,Consumer,CA-2013-101469,42188,7.7
Standard Class,Consumer,CA-2013-102162,42259,1611.01
Standard Class,Consumer,CA-2013-104157,42211,2503.47
Standard Class,Consumer,CA-2013-104276,42336,447.783
Standard Class,Consumer,CA-2013-106950,42250,1854.241
Standard Class,Consumer,CA-2013-108105,42051,323.88
Standard Class,Consumer,CA-2013-108567,42145,2.694
Standard Class,Consumer,CA-2013-108616,42277,298.83
Standard Class,Consumer,CA-2013-111409,42266,3
Standard Class,Consumer,CA-2013-111605,42366,2.61
Standard Class,Consumer,CA-2013-112102,42107,448.81
Standard Class,Consumer,CA-2013-113733,42347,334.256
Standard Class,Consumer,CA-2013-113747,42153,185.88
Standard Class,Consumer,CA-2013-116232,42270,24.066
Standard Class,Consumer,CA-2013-117604,42252,239.5
Standard Class,Consumer,CA-2013-118514,42038,866.4
Standard Class,Consumer,CA-2013-118626,42232,705.544
Standard Class,Consumer,CA-2013-121958,42322,52.136
Standard Class,Consumer,CA-2013-131205,42252,291.74
Standard Class,Consumer,CA-2013-132549,42334,73.36
Standard Class,Consumer,CA-2013-133123,42254,99.156
Standard Class,Consumer,CA-2013-133368,42018,405.344
Standard Class,Consumer,CA-2013-134208,42265,396
Standard Class,Consumer,CA-2013-135636,42286,387.72
Standard Class,Consumer,CA-2013-136483,42340,4.704
Standard Class,Consumer,CA-2013-137736,42319,41.86
Standard Class,Consumer,CA-2013-139381,42113,233.48
Standard Class,Consumer,CA-2013-140641,42306,38.19
Standard Class,Consumer,CA-2013-142370,42267,254.99
Standard Class,Consumer,CA-2013-142895,42207,370.184
Standard Class,Consumer,CA-2013-145905,42266,1264.14
Standard Class,Consumer,CA-2013-146143,42353,133.38
Standard Class,Consumer,CA-2013-146150,42049,264.18
Standard Class,Consumer,CA-2013-148684,42364,870.04
Standard Class,Consumer,CA-2013-150000,42103,17.92
Standard Class,Consumer,CA-2013-154060,42127,187.056
Standard Class,Consumer,CA-2013-155138,42256,99.872
Standard Class,Consumer,CA-2013-156503,42292,305.248
Standard Class,Consumer,CA-2013-156573,42154,60.485
Standard Class,Consumer,CA-2013-157245,42144,641.96
Standard Class,Consumer,CA-2013-157588,42200,88.15
Standard Class,Consumer,CA-2013-159989,42348,40.68
Standard Class,Consumer,CA-2013-160234,42182,135.95
Standard Class,Consumer,CA-2013-160486,42369,72.224
Standard Class,Consumer,CA-2013-163174,42243,186.54
Standard Class,Consumer,CA-2013-163776,42205,1110.5
Standard Class,Consumer,CA-2013-164574,42215,732.156
Standard Class,Consumer,CA-2013-166282,42111,158.256
Standard Class,Consumer,CA-2013-166485,42055,16.496
Standard Class,Consumer,CA-2013-168536,42359,66.3
Standard Class,Consumer,CA-2013-169103,42072,1466.32
Standard Class,Consumer,CA-2014-100426,42525,12.48
Standard Class,Consumer,CA-2014-100622,42677,1030.742
Standard Class,Consumer,CA-2014-100902,42691,699.4
Standard Class,Consumer,CA-2014-101042,42693,843.84
Standard Class,Consumer,CA-2014-102204,42491,3740.51
Standard Class,Consumer,CA-2014-102610,42678,248.396
Standard Class,Consumer,CA-2014-102736,42618,177.08
Standard Class,Consumer,CA-2014-103499,42694,209.568
Standard Class,Consumer,CA-2014-104731,42572,951.98
Standard Class,Consumer,CA-2014-106537,42594,20.736
Standard Class,Consumer,CA-2014-108035,42703,491.888
Standard Class,Consumer,CA-2014-108112,42689,559.2
Standard Class,Consumer,CA-2014-109183,42708,649
Standard Class,Consumer,CA-2014-110926,42693,25.06
Standard Class,Consumer,CA-2014-114412,42475,15.552
Standard Class,Consumer,CA-2014-114636,42607,192.16
Standard Class,Consumer,CA-2014-116855,42721,504.9
Standard Class,Consumer,CA-2014-116939,42638,177.55
Standard Class,Consumer,CA-2014-117079,42666,863.88
Standard Class,Consumer,CA-2014-117198,42613,659.9
Standard Class,Consumer,CA-2014-118402,42642,243.92
Standard Class,Consumer,CA-2014-119004,42697,105.408
Standard Class,Consumer,CA-2014-119305,42704,173.8
Standard Class,Consumer,CA-2014-119669,42394,5.67
Standard Class,Consumer,CA-2014-120894,42488,28.08
Standard Class,Consumer,CA-2014-121804,42432,72.8
Standard Class,Consumer,CA-2014-122056,42534,181.86
Standard Class,Consumer,CA-2014-123351,42634,80.48
Standard Class,Consumer,CA-2014-124296,42728,712.85
Standard Class,Consumer,CA-2014-124765,42699,723.92
Standard Class,Consumer,CA-2014-126354,42404,119.178
Standard Class,Consumer,CA-2014-126914,42536,776.08
Standard Class,Consumer,CA-2014-127306,42384,175.086
Standard Class,Consumer,CA-2014-128363,42595,2382.926
Standard Class,Consumer,CA-2014-128755,42494,629.86
Standard Class,Consumer,CA-2014-130309,42721,544.38
Standard Class,Consumer,CA-2014-130904,42471,22.744
Standard Class,Consumer,CA-2014-132185,42701,52.344
Standard Class,Consumer,CA-2014-133501,42609,5.184
Standard Class,Consumer,CA-2014-133641,42504,48.69
Standard Class,Consumer,CA-2014-133928,42532,4.572
Standard Class,Consumer,CA-2014-135587,42711,372.64
Standard Class,Consumer,CA-2014-137631,42488,751.984
Standard Class,Consumer,CA-2014-138975,42509,2361.52
Standard Class,Consumer,CA-2014-139493,42626,15.92
Standard Class,Consumer,CA-2014-139948,42568,7.904
Standard Class,Consumer,CA-2014-140627,42727,303.32
Standard Class,Consumer,CA-2014-140872,42524,1111.698
Standard Class,Consumer,CA-2014-142090,42704,2165.658
Standard Class,Consumer,CA-2014-143861,42533,17.088
Standard Class,Consumer,CA-2014-144365,42667,11.68
Standard Class,Consumer,CA-2014-145275,42462,14.94
Standard Class,Consumer,CA-2014-145737,42628,163.96
Standard Class,Consumer,CA-2014-146136,42616,24.448
Standard Class,Consumer,CA-2014-146192,42482,675.06
Standard Class,Consumer,CA-2014-146983,42615,1577.94
Standard Class,Consumer,CA-2014-147228,42622,458.984
Standard Class,Consumer,CA-2014-148999,42400,419.136
Standard Class,Consumer,CA-2014-149853,42646,33.472
Standard Class,Consumer,CA-2014-150910,42726,1090.348
Standard Class,Consumer,CA-2014-152786,42441,40.41
Standard Class,Consumer,CA-2014-152968,42516,23.08
Standard Class,Consumer,CA-2014-154088,42686,26.72
Standard Class,Consumer,CA-2014-158386,42659,124.75
Standard Class,Consumer,CA-2014-158743,42663,199.17
