,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
CA-2014-117198,42613,,,,,,,,,,659.9,,
CA-2014-117695,42587,,13.76,,,,,,,,,,
CA-2014-118402,42642,,,,,,,,,,243.92,,
CA-2014-119004,42697,,,,,,,,,,105.408,,
CA-2014-119284,42536,,,,,,,,,,,2942.784,
CA-2014-119305,42704,,,,,,,,,,173.8,,
CA-2014-119669,42394,,,,,,,,,,5.67,,
CA-2014-120705,42618,,,,,,,,,,,,147.184
CA-2014-120894,42488,,,,,,,,,,28.08,,
CA-2014-121314,42636,251.64,,,,,,,,,,,
CA-2014-121419,42462,,,771.8,,,,,,,,,
CA-2014-121804,42432,,,,,,,,,,72.8,,
CA-2014-121818,42694,52.696,,,,,,,,,,,
CA-2014-122056,42534,,,,,,,,,,181.86,,
CA-2014-122154,42469,284.19,,,,,,,,,,,
CA-2014-122693,42420,,,,,,,,1245.86,,,,
CA-2014-122707,42476,,503.22,,,,,,,,,,
CA-2014-122987,42598,,,,80.564,,,,,,,,
CA-2014-122994,42407,359.97,,,,,,,,,,,
CA-2014-123239,42578,,,,,,,91.032,,,,,
CA-2014-123351,42634,,,,,,,,,,80.48,,
CA-2014-123687,42516,,234.2,,,,,,,,,,
CA-2014-124296,42728,,,,,,,,,,712.85,,
CA-2014-124597,42490,,,,,,,,,,,,32.088
CA-2014-124765,42699,,,,,,,,,,723.92,,
CA-2014-124828,42554,,9.552,,,,,,,,,,
CA-2014-124898,42624,,,,,,,,,,,,184.66
CA-2014-125472,42520,253.86,,,,,,,,,,,
CA-2014-125745,42551,,,,,,,,,,,19.52,
CA-2014-125752,42582,,,,,,,,,,,,41.424
CA-2014-126046,42677,,,,,,,,,,,12.39,
CA-2014-126354,42404,,,,,,,,,,119.178,,
CA-2014-126382,42524,,,,,,,,,,,35.168,
CA-2014-126774,42475,4.89,,,,,,,,,,,
CA-2014-126914,42536,,,,,,,,,,776.08,,
CA-2014-127306,42384,,,,,,,,,,175.086,,
CA-2014-127516,42732,,,,,,,,,,,,64.784
CA-2014-127726,42624,,,,,,,209.88,,,,,
CA-2014-127803,42509,,,,,,,,,,,26.16,
CA-2014-128300,42698,,,,,,,,406.94,,,,
CA-2014-128363,42595,,,,,,,,,,2382.926,,
CA-2014-128475,42608,,,,,,,,,,,,71.98
CA-2014-128629,42561,,,,,,,18.84,,,,,
CA-2014-128699,42707,,,,,,,47.992,,,,,
CA-2014-128755,42494,,,,,,,,,,629.86,,
CA-2014-128769,42620,,,,,,,,,,,81.568,
CA-2014-129021,42605,,,,,,,4590.344,,,,,
CA-2014-129028,42461,,127.95,,,,,,,,,,
CA-2014-129462,42537,,,,,,,740.59,,,,,
CA-2014-129490,42639,,,,,,,,,,,,419.136
CA-2014-129910,42459,,,,,,,,,,,,59.76
CA-2014-130309,42721,,,,,,,,,,544.38,,
CA-2014-130834,42677,,,,,,,16.272,,,,,
CA-2014-130904,42471,,,,,,,,,,22.744,,
CA-2014-132185,42701,,,,,,,,,,52.344,,
CA-2014-132213,42485,,,109.968,,,,,,,,,
CA-2014-133095,42525,,,,,,117.62,,,,,,
CA-2014-133235,42583,271.96,,,,,,,,,,,
CA-2014-133263,42460,,,,,,,,3098.61,,,,
CA-2014-133501,42609,,,,,,,,,,5.184,,
CA-2014-133641,42504,,,,,,,,,,48.69,,
CA-2014-133928,42532,,,,,,,,,,4.572,,
CA-2014-134096,42637,,,,,,,,,,,,399.53
CA-2014-134495,42461,,,,,,,,269.4,,,,
CA-2014-134649,42396,,,,,,,,22.63,,,,
CA-2014-134810,42499,,272.232,,,,,,,,,,
CA-2014-135587,42711,,,,,,,,,,372.64,,
CA-2014-136826,42537,,,,,,,,,,,14.016,
CA-2014-137631,42488,,,,,,,,,,751.984,,
CA-2014-138779,42384,29.664,,,,,,,,,,,
CA-2014-138975,42509,,,,,,,,,,2361.52,,
CA-2014-139353,42671,,,,,,,273.088,,,,,
CA-2014-139493,42626,,,,,,,,,,15.92,,
CA-2014-139619,42632,,,,,,,,,,,95.616,
CA-2014-139787,42632,,,,,,,,,,,,35.4
CA-2014-139948,42568,,,,,,,,,,7.904,,
CA-2014-140088,42518,,,,,,,301.96,,,,,
CA-2014-140627,42727,,,,,,,,,,303.32,,
CA-2014-140872,42524,,,,,,,,,,1111.698,,
CA-2014-141446,42629,,,,,,,,,18,,,
CA-2014-141614,42526,,,,,,,,,,,20.736,
CA-2014-142090,42704,,,,,,,,,,2165.658,,
CA-2014-142671,42684,,,,,,,,,11.52,,,
CA-2014-143567,42676,,,,,,,,3291.07,,,,
CA-2014-143756,42706,701.96,,,,,,,,,,,
CA-2014-143861,42533,,,,,,,,,,17.088,,
CA-2014-144365,42667,,,,,,,,,,11.68,,
CA-2014-144456,42621,,,220.056,,,,,,,,,
CA-2014-144498,42496,,,,817.829,,,,,,,,
CA-2014-144694,42637,,,,,,,253.824,,,,,
CA-2014-145275,42462,,,,,,,,,,14.94,,
CA-2014-145310,42726,,,,,,,7.824,,,,,
CA-2014-145702,42509,,,,,,,,342.24,,,,
CA-2014-145737,42628,,,,,,,,,,163.96,,
CA-2014-146136,42616,,,,,,,,,,24.448,,
CA-2014-146192,42482,,,,,,,,,,675.06,,
CA-2014-146458,42693,,,,,,,22.96,,,,,
CA-2014-146535,42698,,,,,,,,,,,,1446.84
CA-2014-146983,42615,,,,,,,,,,1577.94,,
CA-2014-147228,42622,,,,,,,,,,458.984,,
CA-2014-147333,42718,,,,,,,,,,,204.55,
CA-2014-147361,42622,,,,,,,,,,,685.26,
CA-2014-147760,42678,,1883.724,,,,,,,,,,
CA-2014-148166,42664,,,,,,,,,,,,17.856
CA-2014-148404,42650,,,,,,,,,,,,1027.21
CA-2014-148474,42533,,,,,,,,,,,,544.14
CA-2014-148810,42547,,,,,,,,,,,287.424,
CA-2014-148922,42714,,,,,,,,,684.78,,,
CA-2014-148999,42400,,,,,,,,,,419.136,,
CA-2014-149146,42655,,,,,,7.968,,,,,,
CA-2014-149853,42646,,,,,,,,,,33.472,,
CA-2014-150910,42726,,,,,,,,,,1090.348,,
CA-2014-150931,42376,,,,,,,,,,,,33.74
CA-2014-151211,42599,,,,,,,,,,,,201.09
CA-2014-151218,42541,4.464,,,,,,,,,,,
CA-2014-151855,42517,,,,,,,,,,,39.252,
CA-2014-152786,42441,,,,,,,,,,40.41,,
CA-2014-152968,42516,,,,,,,,,,23.08,,
CA-2014-153339,42677,,,,,,,,15.992,,,,
CA-2014-153654,42698,,,,,,,,19.008,,,,
CA-2014-154088,42686,,,,,,,,,,26.72,,
CA-2014-154123,42694,,,,,,,,,,,,27.58
CA-2014-154816,42680,,,,,,,,,,,5.78,
CA-2014-155089,42706,,,,,,,,,,,,45.66
CA-2014-155159,42699,,,,,,,48.87,,,,,
CA-2014-155292,42673,,,204.98,,,,,,,,,
CA-2014-155698,42437,,668.54,,,,,,,,,,
CA-2014-155705,42603,,,,,,,866.4,,,,,
CA-2014-155824,42439,,,,,,,,,,,61.876,
CA-2014-156272,42450,,,,,,,,,,,64.384,
CA-2014-156769,42496,54.66,,,,,,,,,,,
CA-2014-157854,42468,,,,,,,,,,,2747.25,
CA-2014-157931,42630,,,,,,,,,830.24,,,
CA-2014-158386,42659,,,,,,,,,,124.75,,
CA-2014-158407,42525,,,,,,,,,,,103.968,
CA-2014-158561,42685,,,,,,,,1158.12,,,,
CA-2014-158729,42723,1665.62,,,,,,,,,,,
CA-2014-158743,42663,,,,,,,,,,199.17,,
CA-2014-158883,42523,,,,25.344,,,,,,,,
CA-2014-158967,42714,19.104,,,,,,,,,,,
CA-2014-159100,42659,,,,,,,,,,,1893.786,
CA-2014-159135,42678,,,,,,,,,,,,4.3
CA-2014-159464,42508,,524.85,,,,,,,,,,
CA-2014-159667,42683,,,,,,,,,,,,691.144
CA-2014-159954,42623,,,,,,,,,,2.78,,
CA-2014-160017,42641,,,,,,,,,,,10.368,
CA-2014-160423,42391,,,,,,,,,,,,383.992
CA-2014-160458,42517,,,,,,,25.92,,,,,
CA-2014-160724,42495,,,,,,,,,,,34.5,
CA-2014-160899,42593,,,,,,,,,477.51,,,
CA-2014-161046,42434,,,,,839.25,,,,,,,
CA-2014-161053,42635,726.91,,,,,,,,,,,
CA-2014-161088,42515,,,,,,,,,,,,29.84
CA-2014-161130,42677,,,,,,,,,,,361.376,
CA-2014-161200,42588,,,,,,,161.14,,,,,
CA-2014-161592,42466,,,,,,,,,,,8.1,
CA-2014-161851,42475,,15.57,,,,,,,,,,
CA-2014-161970,42635,,,,,,,,,,30.9,,
CA-2014-162033,42455,,,,,,,,,,,,57.01
CA-2014-162173,42669,,,,,,,,,,608.43,,
CA-2014-162635,42652,10.816,,,,,,,,,,,
CA-2014-163321,42589,,,,,,,79.992,,,,,
CA-2014-163335,42637,79,,,,,,,,,,,
CA-2014-163510,42729,,,,,,,400.39,,,,,
CA-2014-163629,42691,,,,,,,,,,,286.09,
CA-2014-164756,42631,,,,,,,,,,,997.83,
CA-2014-164917,42706,,,,,,,,,,,47.96,
CA-2014-165029,42700,,,,,,,,,,,12.84,
CA-2014-165204,42687,,,,,,,728.968,,,,,
CA-2014-165687,42691,,,,,,,,,,35.04,,
CA-2014-165715,42706,,,,,,,,,,32.776,,
CA-2014-165904,42467,,,,,,,,,,,,235.44
CA-2014-167871,42692,,,,,,,,,,47.328,,
CA-2014-167941,42680,,,,,,,831.368,,,,,
CA-2014-168102,42484,,,,,,,,,,,113.568,
CA-2014-168389,42715,,,,,,,,,,,873.811,
CA-2014-169005,42676,,,,,,,,,,5.56,,
CA-2014-169012,42561,,,,,,,,,,,41.91,
US-2011-102715,41375,,,,,,,737.2,,,,,
US-2011-107405,41354,,,,,,,,,,,16.272,
US-2011-109162,41433,,,,,,,,,,,170.352,
US-2011-114377,41583,,,,149.9,,,,,,,,
US-2011-115196,41526,,,,,,,,,,1299.99,,
US-2011-117135,41446,,,,,,,425.67,,,,,
US-2011-117170,41534,,,,,,,,,,52.608,,
US-2011-118997,41372,,,,,,,,,,,1215.92,
US-2011-125521,41347,,,,,,,,,,,,1139.92
US-2011-130358,41448,23.12,,,,,,,,,,,
US-2011-138835,41527,,,,,,,,,,,,9.64
US-2011-143581,41505,,,,,,,,,,,344.91,
US-2011-147627,41294,,,,,,,,,,1859.4,,
US-2011-147774,41294,,,,,,,,,,,67.194,
US-2011-150574,41627,,,,,,,,,,252.612,,
US-2011-155502,41300,,,,,,,,,,,,944.61
US-2011-155544,41354,,,,,,,,,,310.528,,
US-2011-155817,41550,,,,,,,,,,,,67.76
US-2011-156216,41530,,,,,,,,,,,18.648,
US-2011-156559,41505,,,,,,,,,,638.82,,
US-2011-157231,41369,,,,,,,,,,,115.36,
US-2011-158057,41355,,,,,,,,,,59.109,,
US-2011-164763,41350,,,,,,,,,,,103.5,
US-2011-165659,41426,,,,,,,,,,904.13,,
US-2011-167633,41547,,,,,,,,,,15.552,,
US-2012-106495,41805,11.672,,,,,,,,,,,
US-2012-108966,41923,,,,,,,,,,979.9455,,
US-2012-112508,41722,,,,,,,,,,,6.992,
US-2012-113327,41785,,,,,,,,,352.168,,,
US-2012-120572,41984,,,,,,,,,,12.828,,
US-2012-123960,41801,,,,,,,,,,207.82,,
US-2012-129553,41847,,,,,,,,,,29.97,,
US-2012-130519,41897,,,,,111.904,,,,,,,
US-2012-131842,41978,,97.424,,,,,,,,,,
US-2012-134026,41755,,,,,,,,,,1001.76,,
US-2012-136476,41734,,,,,,,,,,,157.794,
US-2012-136749,41998,,,,,,,433.78,,,,,
US-2012-140851,41833,,,,,,,,38.88,,,,
US-2012-145436,41698,,,,,,,,,,551.264,,
US-2012-148817,41974,,,,,,,,,,,125.64,
US-2012-149629,41837,,,,,,,,231.92,,,,
US-2012-151435,41888,,,,,,,85.98,,,,,
US-2012-158911,41825,,,,,,,,,,,16.712,
US-2012-164357,41968,,,,,,,,,,13.12,,
US-2012-168732,41983,,,,,,,,,,129.64,,
US-2012-168935,41970,,,,,,,,,,459.4335,,
US-2013-101616,42251,,87.28,,,,,,,,,,
US-2013-102232,42222,,,,,,,,,,,197.05,
US-2013-106600,42103,354.9,,,,,,,,,,,
US-2013-108504,42040,,,,,,2075.51,,,,,,
US-2013-108637,42077,,,,,,,,,,,,334.2
US-2013-109260,42274,,,,,,,,,,,,431.976
US-2013-113649,42226,645.136,,,,,,,,,,,
US-2013-116400,42300,39.92,,,,,,,,,,,
US-2013-119298,42334,59.98,,,,,,,,,,,
US-2013-120929,42082,,,,,,,189.882,,,,,
US-2013-121013,42253,,,,,,,,,,1678,,
US-2013-123750,42110,,,,,,,,,,,,895.06
US-2013-131891,42215,2.214,,,,,,,,,,,
US-2013-132857,42350,,,,,,,,,,6.672,,
US-2013-134761,42339,,,,36.192,,,,,,,,
US-2013-135209,42368,,,,,,,,,62.752,,,
US-2013-135923,42026,,,,,,,,,,530.272,,
US-2013-137295,42012,,,,,,,,,,187.228,,
US-2013-138408,42327,,,,,,,,1319.96,,,,
US-2013-139262,42056,,,,,,,,,,,,471.078
US-2013-140809,42036,,56.45,,,,,,,,,,
US-2013-142251,42309,,,,,,,32.064,,,,,
US-2013-144393,42306,,,,,,,,,,,17.616,
US-2013-146570,42140,,,,,,,,,,,,612.14
US-2013-147991,42130,,,,,,,,,,16.72,,
US-2013-148803,42350,,,,85.224,,,,,,,,
US-2013-148901,42139,,,,,,,,,,,191.018,
US-2013-150357,42288,,,,,,,,,,,24.703,
US-2013-150567,42142,,,,,,,,,,,29.97,
US-2013-153815,42315,,368.432,,,,,,,,,,
US-2013-155404,42270,,,,,,,,,,,,13.28
US-2013-156692,42230,,,,89.32,,,,,,,,
US-2013-158309,42335,,,3.744,,,,,,,,,
US-2013-159415,42112,,,,,,,,,,,79.12,
US-2013-161844,42348,,,,,,,,82.92,,,,
US-2013-162677,42090,187.616,,,,,,,,,,,
US-2013-164588,42111,,,,,,,,,,12.84,,
US-2013-164630,42008,,,,,,,,,,,959.968,
US-2013-167472,42162,678.87,,,,,,,,,,,
US-2013-168620,42363,,,,,,,,,823.61,,,
US-2013-169369,42351,,,,,,,,,,299.07,,
US-2014-100930,42467,,,,,,,,,,,,1735.8505
US-2014-102904,42687,,,,,,,,,,239.92,,
US-2014-105935,42396,,,,,,,,,,3002.65,,
US-2014-108063,42706,34.65,,,,,,,,,,,
US-2014-108315,42490,,,,,,,,,,,,225.546
US-2014-109610,42699,,,,,,,,701.96,,,,
US-2014-114356,42602,,,,,,,,,,,,35.96
US-2014-115252,42663,,,,,,,,,,,30.336,
US-2014-117450,42617,,,,,,,,,,107.552,,
US-2014-120390,42662,,,,,,,,,,,,1633.188
US-2014-120607,42509,,,,195.64,,,,,,,,
US-2014-126060,42474,,,,,,,,,,,198.272,
US-2014-126179,42554,,,,,,,,,,311.96,,
US-2014-128118,42698,,,,,,,,,,,76.521,
US-2014-128951,42566,,1065.84,,,,,,,,,,
US-2014-129224,42446,,,,,,,,,,,,4.608
US-2014-132031,42483,,,,,,,,,,,,513.496
US-2014-132297,42517,,,,,,,,,,,,598.31
US-2014-132675,42637,,,,,,,,,,,,148.16
US-2014-133781,42543,37.608,,,,,,,,,,,
US-2014-134642,42426,,,,,,,,,,428.704,,
US-2014-135062,42613,,,,,,,229.544,,,,,
US-2014-135503,42714,,,,,,,,,,,14.76,
US-2014-135986,42541,,,,,,,,,,536.36,,
US-2014-136189,42711,,,,,,,,,,82.38,,
US-2014-146822,42530,,,,,,,,,,49.12,,
US-2014-146878,42634,,,,,,,,,,12.294,,
US-2014-148768,42704,,,,,,,,,71.976,,,
US-2014-148831,42656,348.56,,,,,,,,,,,
US-2014-149510,42707,,,,,,,,,,98.446,,
US-2014-152492,42557,,,,239.24,,,,,,,,
US-2014-152842,42567,,,,,,,,,,242.352,,
US-2014-152898,42624,,,,,,,,,,67.9,,
US-2014-153633,42687,,,,,,,2.064,,,,,
US-2014-156083,42678,,,,,,,,,,,,9.664
US-2014-158526,42733,,,,,,,1814.68,,,,,
US-2014-159205,42460,,,,,,,,,732.93,,,
US-2014-162208,42609,,2.896,,,,,,,,,,
US-2014-162558,42645,,,2437.672,,,,,,,,,
US-2014-162670,42727,,,,,,,,1152.87,,,,
US-2014-163195,42418,,,,,,,29.16,,,,,
US-2014-165953,42370,,,,,,,,,,71.096,,
US-2014-166233,42554,,,,,,,,,,24,,
US-2014-166611,42457,,,,,,,,,,,68.742,
US-2014-167920,42713,,,,,,,1827.51,,,,,
US-2014-168116,42678,,,,,8167.42,,,,,,,
US-2014-168690,42377,,,,,,,,,,2.808,,
Grand Total,,20802.173,20792.607,7737.786,8132.409,9907.308,2977.456,49724.2545,35243.231,8791.127,116922.1345,55942.7865,54748.6325
